b1,b2,droupout_prob,itération,lr,weight_decay,loss,test
0.9158118220408248,0.9999816503458834,0.043579546028245764,11.0,2.2604827573758212e-05,0.013863947076594956,0.8064,0.8018
0.9998952006592903,0.9920846430472268,0.985127959256939,11.0,0.13210534773006316,1.1698923511031457e-05,0.098,0.102
0.9000656776245513,0.990131799598204,0.7296353510140583,12.0,0.011471025862483126,2.0850700572509352e-05,0.8018,0.798
0.9107315151817692,0.98996704168304,0.8123052079734481,12.0,0.02301347025874754,1.160812427335933e-05,0.7934,0.7812
0.9081049809630345,0.9999892223868565,0.08162907213626175,12.0,1.9841695185357195e-05,0.013242761255026604,0.815,0.8098
0.9998771087734505,0.999988738678075,0.001438617528949221,12.0,1.3799463504746472e-05,0.13004536143735235,0.8152,0.8096
0.9998771087402303,0.9999887386944621,0.0014386175384325124,13.0,1.37994807728721e-05,0.1300453615343639,0.8152,0.8102
0.9125404921708111,0.9903095312285185,0.04034679167087313,13.0,1.2716677071650261e-05,0.12641307702124222,0.8152,0.81
0.9017947718111314,0.9999891245041935,0.022350595603394086,13.0,0.009402777014368266,0.083331973323679,0.7678,0.7544
0.9998749678653543,0.9908549758665789,0.9236948515062015,13.0,1.0661379235813749e-05,1.8018184567340323e-05,0.8148,0.8094
0.9998771088283869,0.9999887386925715,0.0014386175921103643,14.0,1.3799508826757891e-05,0.13004536147725718,0.815,0.81
0.9315710229377342,0.9917023510231661,0.044006937505763066,14.0,1.738910004517085e-05,0.12594732942706469,0.8146,0.8106
0.9304020221059877,0.9999784616887902,0.009637964944070864,14.0,1.1430182159838309e-05,0.0990392542818009,0.815,0.8102
0.9998969468977357,0.9900497486724742,0.8921304145905999,14.0,0.061027804516846876,1.2176389602896826e-05,0.3898,0.3874
0.9977993585818905,0.9995697801172733,0.44303847056925516,14.0,0.0009325292693897835,0.0010115650097264732,0.819,0.8138
0.9996128269143034,0.9996081030145145,0.512694966022899,14.0,0.0022125926595842303,0.0005500865062037852,0.817,0.811
0.9975849104310501,0.9997598938884608,0.4412483463276853,14.0,0.0007320802654846609,0.0013510386237405823,0.8202,0.8134
0.987421404351543,0.9999855474701491,0.9545494971320928,14.0,0.00041129384503465056,3.738850728617723e-05,0.7706,0.7624
0.997584910476252,0.9997598938505021,0.441248346266806,15.0,0.0007320802954463166,0.0013510386778758689,0.8192,0.8162
0.9201156826587009,0.9912504285811926,0.40401025739620106,15.0,0.0007867377295872748,0.0010140426620004557,0.8216,0.8174
0.9964687339432275,0.9989823634568348,0.058226729223984974,15.0,0.07311464602141038,1.370916106958165e-05,0.5682,0.5664
0.9349511531270047,0.9959581134544644,0.8481750338332734,15.0,1.1038745930406585e-05,0.022809970997782113,0.8202,0.8134
0.9201156826914515,0.9912504284866394,0.404010257350851,16.0,0.0007867377369179161,0.0010140426709449274,0.8238,0.8164
0.9154023096327013,0.9908269609631006,0.364853527154958,16.0,0.0004295503690224517,0.0012062598593360798,0.8252,0.82
0.9976041822257798,0.9989635048279444,0.07885070192210808,16.0,1.6587886703669408e-05,0.12974914967790524,0.8214,0.8182
0.905783982223385,0.9923761273649926,0.9762105611494203,16.0,0.08697556557595244,1.1010156480323092e-05,0.0974,0.1026
0.9154023096281061,0.9908269609151154,0.3648535271024269,17.0,0.00042955038801818497,0.0012062599175891085,0.8254,0.8196
0.9315953853740092,0.9933219697802145,0.3230268653543389,17.0,0.00028264534831287804,0.0011982369927640052,0.8252,0.8198
0.9005302421633157,0.9999851243859164,0.9927595241301479,17.0,0.10879573261840882,0.11457632063641798,0.1022,0.0978
0.9998604511145542,0.9903193020316108,0.02471557778680017,17.0,1.250597703499997e-05,1.0470111288500372e-05,0.8248,0.8194
0.915402309701071,0.9908269608159862,0.36485352716854613,18.0,0.0004295502899110863,0.0012062600139656056,0.827,0.8216
0.912144956893349,0.9909904724896369,0.31951013254046884,18.0,0.0002923001400548909,0.0013007138829397523,0.8296,0.8224
0.9972902666240925,0.9992212536828058,0.0049384067862560665,18.0,1.5991343330768695e-05,0.12380199656373386,0.8262,0.8198
