b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,loss,test
9.999999747378752e-05,9.999999747378752e-06,0.16103843881250862,9,0.20233502609547827,0.00034211235780076286,9,0.6804,0.6782
9.999999747378752e-05,9.999999747378752e-06,0.15116022423293346,9,0.022206861005067646,0.0009645445388741791,9,0.7586,0.7778
9.999999747378752e-05,9.999999747378752e-06,0.9998644814389522,9,0.0004370291889091932,0.000986870266577264,9,0.7464,0.766
9.999999747378752e-05,9.999999747378752e-06,0.15116022423293346,9,0.022206861005067646,0.0009645445388741791,10,0.772,0.784
9.999999747378752e-05,9.999999747378752e-06,0.7637734673837073,10,0.005551914451174049,0.0009515707606671492,10,0.7644,0.7786
9.999999747378752e-05,9.999999747378752e-06,0.9991735742221258,10,0.2589764276178594,0.0024041699467359065,10,0.0996,0.1004
9.999999747378752e-05,9.999999747378752e-06,0.7571325922953147,10,2.2861445740315816e-05,0.001924055762074944,10,0.759,0.7768
9.999999747378752e-05,9.999999747378752e-06,0.15116022423293346,9,0.022206861005067646,0.0009645445388741791,11,0.7792,0.7968
9.999999747378752e-05,9.999999747378752e-06,0.7387480663707475,11,0.03954898395405967,0.00010556827427885689,11,0.7336,0.753
9.999999747378752e-05,9.999999747378752e-06,0.9235588254260271,11,1.768733981330982e-05,0.02629416807853776,11,0.7728,0.7856
9.999999747378752e-05,9.999999747378752e-06,0.03348375834309887,11,0.04109643833250681,0.00014824808928851307,11,0.7784,0.7884
9.999999747378752e-05,9.999999747378752e-06,0.15116022423293346,9,0.022206861005067646,0.0009645445388741791,12,0.7968,0.8064
9.999999747378752e-05,9.999999747378752e-06,0.13291163439675463,12,2.0054235188866447e-05,0.15022472936903924,12,0.7796,0.7992
9.999999747378752e-05,9.999999747378752e-06,0.3605781863999698,12,0.0008776849679810554,4.023010061614393e-05,12,0.7882,0.8008
9.999999747378752e-05,9.999999747378752e-06,0.25103634362079597,12,0.032884817457253995,0.0003234962725649827,12,0.7796,0.7962
9.999999747378752e-05,9.999999747378752e-06,0.15116022423293346,9,0.022206861005067646,0.0009645445388741791,13,0.7892,0.7996
9.999999747378752e-05,9.999999747378752e-06,0.22538310037431775,13,1.0186157709694859e-05,0.5893331913185822,13,0.7974,0.8074
9.999999747378752e-05,9.999999747378752e-06,0.7979755040115455,13,2.253570986288342e-05,0.9585966618427378,13,0.7976,0.8066
9.999999747378752e-05,9.999999747378752e-06,0.5865243237688794,13,2.075988070217533e-05,0.797717160787348,13,0.7972,0.8068
9.999999747378752e-05,9.999999747378752e-06,0.7979755040115455,13,2.253570986288342e-05,0.9585966618427378,14,0.7968,0.8074
9.999999747378752e-05,9.999999747378752e-06,0.08541309818200989,14,0.06908704189578634,0.9749211144571018,14,0.0974,0.1026
9.999999747378752e-05,9.999999747378752e-06,0.7984433716077504,14,1.0659548481963895e-05,0.7172311457632814,14,0.7968,0.8068
9.999999747378752e-05,9.999999747378752e-06,0.9998964513390917,14,1.163714291528614e-05,0.22024425243245987,14,0.7972,0.808
9.999999747378752e-05,9.999999747378752e-06,0.9095585110022203,14,1.0025189255101036e-05,0.335843973267294,14,0.7974,0.8064
9.999999747378752e-05,9.999999747378752e-06,0.7838108894990153,14,0.0017540528835804457,0.03721911501490184,14,0.7792,0.7952
9.999999747378752e-05,9.999999747378752e-06,0.2088233635441775,14,1.0017006535000657e-05,0.032995984438498174,14,0.7976,0.8068
9.999999747378752e-05,9.999999747378752e-06,0.030162246095876873,14,1.0677837314250818e-05,0.03098215992483741,14,0.7978,0.8066
9.999999747378752e-05,9.999999747378752e-06,0.030162246095876873,14,1.0677837314250818e-05,0.03098215992483741,15,0.7972,0.8068
9.999999747378752e-05,9.999999747378752e-06,0.035672156283755085,15,0.0024474859563504425,0.0049675504055868335,15,0.8072,0.8252
9.999999747378752e-05,9.999999747378752e-06,0.04805062290827224,15,0.001197683714091854,0.002178866948115081,15,0.8046,0.8204
9.999999747378752e-05,9.999999747378752e-06,0.054939133943216784,15,0.0021959630000418775,0.00014377393065786136,15,0.8126,0.8266
9.999999747378752e-05,9.999999747378752e-06,0.054939133943216784,15,0.0021959630000418775,0.00014377393065786136,16,0.8216,0.8372
9.999999747378752e-05,9.999999747378752e-06,0.06738711464316421,16,0.004053618347520195,0.0005904674156668231,16,0.8238,0.8374
9.999999747378752e-05,9.999999747378752e-06,0.999982368784804,16,0.010720842740411267,1.4083972970486359e-05,16,0.1446,0.1434
9.999999747378752e-05,9.999999747378752e-06,0.15435829406826995,16,0.0040423023386183705,0.005936816518646087,16,0.8164,0.8288
