lr,droupout_prob,weight_decay,b1,b2,loss,test
0.0,0.6049024899291418,0.028563868100146134,0.992565246757482,0.9956702731995017,0.7676,0.7562
0.06400610424613144,0.41031334670553293,0.02912730003979551,0.9712996074493989,0.99342847991809,0.672,0.6638
0.0,0.08765731294343111,0.03135941481570545,0.9023905797522279,0.9957312767204267,0.7676,0.7562
0.016935924377928763,0.2631262489645175,0.007387608345132019,0.9724124956751145,0.9956447713061055,0.78,0.7794
0.022099595456252025,0.0,0.00746619154393837,0.9999999999,0.9993765816053661,0.7492,0.7542
0.0,0.260399696446411,0.03005965425440492,0.9704754392147664,0.9992419448087281,0.7646,0.7654
0.0,0.6757652141627565,0.02139546187320972,0.9954765343540729,0.990615093873774,0.7646,0.7654
0.06875270885218729,0.498084740070631,0.029436019473832443,0.9756431149801847,0.9976522113871398,0.6806,0.6916
0.01159465904871634,0.45241568665440657,0.008060594796627563,0.9557936527378021,0.9956648242714378,0.7736,0.7706
0.0,0.2224483829205712,0.028480633541230534,0.9538566532658473,0.9938128054503674,0.7536,0.7496
0.05398630313784221,0.5293917844158629,0.027681106767977755,0.9924263456293984,0.9965692614488926,0.6502,0.638
0.021245008295277812,0.32018587401761633,0.0075618005657602395,0.9998727335927935,0.9991014953682201,0.741,0.7306
0.0,0.6905049742775666,0.03263127403432394,0.9527676487929843,0.9928140117812518,0.7536,0.7496
0.017076445341415666,0.10482660634375522,0.006869405553978528,0.9775704620224135,0.9967107658238804,0.7776,0.7778
0.0,0.08025515561865294,0.021158695478178783,0.96994624227741,0.9927726765891234,0.7434,0.7548
0.024668642295624137,0.49625708887679343,0.007278485059084201,0.909346985192335,0.9990630696038845,0.765,0.7582
0.1,0.5427561371037875,0.07293145634742486,0.9008309324006344,0.9921453442844737,0.096,0.104
0.0,0.5768187931316903,0.028065005224708752,0.9876415838169228,0.9958686107803134,0.7434,0.7548
0.053524748878219966,0.09399676850852019,0.020514068739686364,0.9647541989851283,0.9944092842122682,0.7244,0.724
0.0,0.3828673051154188,0.021053341301715912,0.9999999999,0.9942555218950686,0.7312,0.738
0.022999500272954825,0.3614999546522887,0.007477650472703833,0.9999999999,0.9977125626597334,0.7446,0.7358
0.0,0.3177358645515927,0.02916678470806371,0.9642639459662194,0.9965039651110023,0.7312,0.738
0.0,0.37140026749367,0.02762412917440051,0.9442955862714245,0.9973846850288806,0.7312,0.738
0.016935924377928763,0.2631262489645175,0.007387608345132019,0.9724124956751145,0.9956447713061055,0.782,0.7782
