b1,b2,dataset,droupout_prob,itération,lr,net,weight_decay,loss,test
0.09677311085406769,0.00019200437473045583,MNIST,0.23428155967909478,5.0,0.41454434039277793,LeNet,0.02064958776099346,0.101,0.0938
0.08643834130123529,0.0009725127490547358,MNIST,0.383844668729716,5.0,0.492907553150638,LeNet,0.38818907300476646,0.103,0.099
0.06816214480885524,0.0013451350923169647,MNIST,0.22323693163451075,5.0,0.26413515247807695,LeNet,0.219957234580253,0.6154,0.6232
0.08332089324611792,0.0019818439567562407,MNIST,0.57387416669397,5.0,0.7316966354964702,LeNet,0.00429676628036238,0.1108,0.1162
0.06559747404468229,0.0009549717615070376,MNIST,0.09301971483751892,5.0,0.3797755170807692,LeNet,0.2138174832571621,0.7116,0.7242
0.07543329886543017,0.0029603526578771185,MNIST,0.3250956204085682,5.0,0.14158386419863633,LeNet,0.378343051822786,0.1004,0.1052
0.00848430755374989,0.007308439738150903,MNIST,0.22163584525226604,5.0,0.8754255307305094,LeNet,0.22976411870612734,0.0912,0.0872
0.0890435316470586,8.413629293836829e-05,MNIST,0.9988286207852987,5.0,0.23701209355672648,LeNet,0.48273009011988416,0.1004,0.1052
0.07910094438801332,0.00566067094862362,MNIST,0.648983965435163,5.0,0.5155409122045471,LeNet,0.5608266626688024,0.2264,0.22
0.025922024433111247,0.008831141251213363,MNIST,0.47904594572122544,5.0,0.07888519089810417,LeNet,0.0765256016663391,0.848,0.8546
0.052260880260611986,0.004775256790733202,MNIST,0.05876315809049909,5.0,0.20006541867749783,LeNet,0.17372529965367062,0.7888,0.8032
0.026698420270469057,0.0027507325393055226,MNIST,0.3402625773764631,5.0,0.3617391170449844,LeNet,0.12922596336550524,0.1026,0.1032
0.07321375955112189,0.0013032943436162704,MNIST,0.27172873168406686,5.0,0.46988880063797295,LeNet,0.33940444448429263,0.5022,0.5116
0.060882385650728316,0.0005640945647453401,MNIST,0.17648826412715762,5.0,0.05962296125467722,LeNet,0.006668827904099214,0.9026,0.8992
0.06009975186106961,0.0005749919917338699,MNIST,0.92254404176465,5.0,0.6291038080647179,LeNet,0.46238787386177,0.1032,0.1094
0.0608823856464911,0.0005640946038981564,MNIST,0.17648826413692942,6.0,0.05962296132257452,LeNet,0.00666882792463454,0.8104,0.815
0.04216969333496062,0.009313211979017874,MNIST,0.5684875219895076,6.0,0.16466592405740468,LeNet,0.5701057701136657,0.101,0.0938
0.05567913786013533,0.007010465645969729,MNIST,0.11698512416760048,6.0,0.572927405614622,LeNet,0.2532810786932283,0.6924,0.7108
0.010922870268716134,0.008507039584868748,MNIST,0.43663355742558346,6.0,0.8054881558423336,LeNet,0.6321604423209793,0.0996,0.1022
0.02889147275899947,0.005108846761361242,MNIST,0.7500198837449794,6.0,0.2208806582161812,LeNet,0.7629202748957316,0.101,0.0938
