b1,b2,droupout_prob,itération,lr,weight_decay,loss,test
0.9304082128346629,0.9923509384334446,0.04605491598402462,4.0,0.008409296023014405,0.0001104061294627286,0.8112,0.7982
0.9979861727688435,0.9990875724778673,0.7567913563853863,4.0,0.10193117331741577,1.221502208085388e-05,0.0948,0.0922
0.9470201930013477,0.9944333662536488,0.031537439382930826,4.0,1.22491137635579e-05,0.07676361160972497,0.7984,0.7822
0.930408212788503,0.9923509383950335,0.046054916036634405,5.0,0.008409296029763768,0.00011040620290803936,0.8248,0.8098
0.9076300564203172,0.9903888451241009,0.011998543836434533,5.0,0.016800651695859734,5.093506429489415e-05,0.8076,0.7928
0.9414824231593739,0.9999867156652067,0.7321440814409496,5.0,1.4725604740180237e-05,0.056602886615503216,0.8158,0.7978
0.9998872582561507,0.9950928434904242,0.0016730931110905192,5.0,0.0003648586062470004,1.329500099182155e-05,0.8192,0.8064
0.9304082128804965,0.9923509383992062,0.04605491610819271,6.0,0.008409296088606615,0.00011040620776122557,0.8458,0.8306
0.9023955273712104,0.9922918364887833,0.02942974329826736,6.0,0.012557518306420348,5.039583380904601e-05,0.8396,0.822
0.9062163623669152,0.9999883767415898,0.7379112051416713,6.0,1.2252503364600113e-05,0.06378005247383443,0.8262,0.8086
0.999863600739834,0.9927542329260114,0.005039928937787652,6.0,0.0001787572572755837,1.4919042556777762e-05,0.8296,0.8202
0.930408212895627,0.9923509384592938,0.04605491615190493,7.0,0.008409296159038576,0.00011040615541424805,0.8582,0.844
0.9076743968719894,0.9933811953429851,0.008953648472912641,7.0,0.009862978798052853,3.6038066851699404e-05,0.8592,0.8454
0.9963544807407477,0.9993224021408519,0.009684659738147888,7.0,0.10125056115744227,1.0608265170826505e-05,0.1018,0.0982
0.9018863809437747,0.9948974386607538,0.8952583332436633,7.0,1.0317793525522e-05,0.023599468336721822,0.8468,0.8288
0.9076743968067321,0.9933811953316314,0.008953648505953383,8.0,0.009862978886933752,3.6038109206917736e-05,0.8672,0.8486
0.9121719395334434,0.991447243318015,0.014568888239738988,8.0,0.01721262914946847,1.1361654840671084e-05,0.8538,0.8416
0.92902942505923,0.9999871613235974,0.002554367871028307,8.0,1.0827807492014718e-05,0.013462720746623996,0.859,0.846
0.9998915171279159,0.9901554661675482,0.9957763945752776,8.0,0.0002631594726520248,1.53276446584488e-05,0.837,0.82
0.9076743968870605,0.9933811954008862,0.008953648452931996,9.0,0.009862978922668601,3.6038208487383786e-05,0.8712,0.8522
0.9017310703057914,0.9907447557746257,0.005940866386847484,9.0,0.02329460620950296,1.4898270142403161e-05,0.8506,0.8444
0.915626868073246,0.9999883500310582,0.7019071360228039,9.0,1.2946974976004852e-05,0.01674033398866963,0.8658,0.8494
0.9998973909248204,0.9899752592446345,0.019128196095608924,9.0,0.0006651373183815981,1.3988112897537295e-05,0.8682,0.8562
0.907674396794735,0.99338119535024,0.008953648478731684,10.0,0.009862978831145145,3.603812493701539e-05,0.872,0.8628
0.9057486588426333,0.9914996118404199,0.0008481724856668708,10.0,0.01979654604856511,1.7243614746927785e-05,0.8562,0.8378
0.9062968381842231,0.999985703590439,0.7187085781448603,10.0,2.3113695851934542e-05,0.01681754867635956,0.8696,0.855
0.9998484424188551,0.9915374073037779,0.0063891149268182155,10.0,0.07581099674873626,1.299600230003161e-05,0.3568,0.3608
0.9076743968577007,0.9933811954123328,0.00895364849664681,11.0,0.009862978788798318,3.603814524322011e-05,0.8762,0.8686
0.9118068989431573,0.9937704665244675,0.040592953075696714,11.0,0.019782109190960337,1.224637833697938e-05,0.8678,0.8542
0.9041889452717002,0.9999888577714925,0.09601216463082826,11.0,1.3635429195757155e-05,0.014063658601545188,0.8732,0.8644
0.9998904068773281,0.9913838452522927,0.9215913925027378,11.0,0.0005828638320616433,1.784424856840115e-05,0.3894,0.3948
0.9076743968814583,0.9933811954550936,0.008953648550345285,12.0,0.009862978796900361,3.6038105336654455e-05,0.8736,0.8662
0.9017865558950087,0.9902412400999707,0.03158459052440871,12.0,0.023106013200339708,1.0717428937751075e-05,0.8694,0.8636
0.913565585776431,0.9999885258610709,0.009704976570463875,12.0,1.6923587014846827e-05,0.015571738847297848,0.8774,0.869
0.999842573712088,0.9999897846104653,0.9161672459806194,12.0,1.9122797939097383e-05,0.12051422024007388,0.8762,0.8684
